mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
0.328807071,0.33688156,0.311810479,0.312384754,2.057389331,2.6283573,5.257909285
0.335910894,0.33328853,0.298221705,0.305374899,2.107049645,2.574840491,5.598175603
0.326415892,0.341203897,0.323237092,0.316526604,2.13004154,2.513210861,5.471212462
0.337089719,0.319225793,0.31810044,0.316870654,1.966477838,2.453321191,5.557860214
0.330345307,0.329419365,0.318182641,0.31353786,2.080939274,2.565042308,5.200252388
0.323404261,0.345909192,0.309711365,0.317504912,1.967645841,2.499449585,5.450060314
0.325418612,0.337775696,0.312235335,0.309743001,1.969678076,2.448680203,5.357358661
0.341371295,0.338292245,0.306862855,0.31609725,1.989916678,2.429224602,5.151408712
0.328475958,0.336947359,0.317329094,0.313767936,2.000651772,2.574461445,5.560752379
0.334278129,0.336340091,0.312830078,0.309913113,2.081893732,2.550129132,5.188920161
0.32926677,0.337593563,0.315403332,0.314970273,2.102884629,2.570201594,5.143806419
0.341070593,0.328236788,0.311619206,0.316410454,2.171377352,2.636666899,5.640250082
0.32213659,0.336659729,0.315576684,0.316242788,2.124798763,2.6398359,5.510464662
0.33265165,0.336442614,0.306111107,0.331106947,1.991941221,2.485734799,5.452087004
0.325664015,0.338267693,0.310610119,0.304016575,2.158940464,2.485674455,5.190192411
0.335529544,0.332596571,0.314624768,0.315490074,2.073869951,2.471315128,5.346609496
0.33826623,0.335672644,0.315722194,0.305926731,2.097571995,2.498793179,5.38202996
0.329584918,0.338107949,0.308205679,0.316377172,2.047227555,2.573772814,5.516568961
0.340603052,0.339847526,0.318893711,0.313009155,1.993202963,2.445551515,5.245117944
0.322235387,0.332807623,0.311593242,0.31300397,1.984567077,2.596531805,5.362731051
0.34458702,0.352340178,0.32279168,0.323210889,1.96994777,2.653307326,5.407656874
0.327534467,0.334536348,0.311190299,0.312212229,1.979850181,2.534198966,5.300696816
0.329940001,0.342499446,0.313270983,0.315143645,2.107613605,2.654458554,5.160558854
0.330472807,0.337987938,0.311627539,0.305601873,2.120269638,2.564676982,5.604602909
0.329240841,0.340090027,0.30164821,0.321287108,2.055208439,2.622150952,5.42451232
0.331167989,0.340911359,0.310516666,0.318048296,1.972473872,2.550035435,5.308754381
0.327767768,0.342972042,0.319749438,0.315609177,2.082646196,2.641168763,5.23993486
0.336603304,0.338162721,0.303746479,0.314470469,2.056467771,2.642513582,5.436066868
0.332075449,0.329813045,0.308577827,0.316135662,1.982352291,2.408711348,5.58245149
0.351253255,0.333992256,0.314383414,0.304378564,2.036418898,2.492538151,5.466379771
0.325245115,0.334657539,0.308969495,0.318073434,2.180254911,2.461958512,5.35031198
0.338771865,0.345166068,0.310156569,0.310721469,1.997042868,2.455916273,5.465414273
